decision_id,decision,score,distinctive_max,register_id,register_birth_date,register_name,register_sex,sample_id,sample_birth_date,sample_name,sample_sex,evidence,review_outcome,reviewer,reviewed_at,reason
xwd:sha256:d9113459e1e015d12d3a3b8bb0d4d6b5eabaf2714c9a1e78fcb1a9880a40ad71,match,1.0,1.0,34,2020-08-23,Amal Niamh Garciarodriguez,F,34,2020-08-23,Amal Niamh Garciarodriguez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:db98c900be76a4310ec119374f1f8cbd00d4861ed1941a2e235d8f57b6db2a48,match,1.0,1.0,35,2017-04-18,Isaac Arseniy Alijones,M,35,2017-04-18,Isaac Arseniy Alijones,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:727aae11b5cfc1fc838b04f4f417274062ee3b1bc7c2c853ac308b75a066333d,match,1.0,1.0,37,2018-09-05,Jin Finn Ruiz,M,37,2018-09-05,Jin Finn Ruiz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f27a21cf9f838cc084e753a9f7fadc9cde25aa71c553c4e03ed260c579b827b8,match,1.0,1.0,47,2019-06-25,Jun Maritza Changliu,M,47,2019-06-25,Jun Maritza Changliu,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1000b70a1870a5947af25093af3162a342ea3fc36c73cef5818110b3a53d62bc,match,1.0,1.0,64,2019-05-13,Omar Andrzej Nakamurayamamoto,M,64,2019-05-13,Omar Andrzej Nakamurayamamoto,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d47a2aa18fffc607396357f76f21fddf71151184e8c5838f811c649892b4f28e,match,1.0,1.0,68,2018-04-28,Aaliyah Marisol Kimchoi,F,68,2018-04-28,Aaliyah Marisol Kimchoi,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:35f68abd172433769c8f8b1334363b8c33719731f974cf4ba507f1a91a11c15b,match,1.0,1.0,72,2017-10-27,Jasmine Giselle Torresrodriguez,F,72,2017-10-27,Jasmine Giselle Torresrodriguez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:2d6b1a4970caf1c434ae0c02113e3f775d9895db349a5934b3830a1f3bda36e2,match,1.0,1.0,80,2020-01-19,Selena Kiana Changchen,F,80,2020-01-19,Selena Kiana Changchen,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:49f020bc16dc6ad77fde20707b658d223837dcebf5c670990abdd3504c12d2f5,match,1.0,1.0,81,2019-08-26,Yusuf Rasmus Leepark,M,81,2019-08-26,Yusuf Rasmus Leepark,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:2be84915906311c45c5b60119c3f214d09a7ecb80d55d0d75590ecfc61e6830a,match,1.0,1.0,84,2020-04-14,Lila Fatoumata Ortizrodriguez,F,84,2020-04-14,Lila Fatoumata Ortizrodriguez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:8624a8003629b80f6353181e178b9952fd6da25f709283673c65a18777b81e94,match,1.0,1.0,87,2018-01-15,Lila Inessa Hernandezgonzalez,F,87,2018-01-15,Lila Inessa Hernandezgonzalez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:5c2950302c37e41ebb13b698f40743a4b68db8f11bc3eb13af4d3781c1af6ab9,match,1.0,1.0,113,2020-10-05,Aubrey Sophia Jenkins,F,113,2020-10-05,Aubrey Sophia Jenkins,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:79a38328bff034cd2030a2231d124bc0b5fbff7cc06cab4a3e59232b4da0af2a,match,1.0,1.0,119,2016-05-07,Sage Isabella White,F,119,2016-05-07,Sage Isabella White,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0d7e7751da1d8371af1caf2322857ecc957078f9671bcc2ce9a3fe5063dbb473,match,1.0,1.0,122,2018-11-21,Drew Samuel Allen,M,122,2018-11-21,Drew Samuel Allen,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:8a5cf87003e40ee24a8ee7839ae2ddd4295c2160644cb923042ccc7aa0c07b0a,match,1.0,1.0,129,2020-11-14,Bailey Daniel Green,F,129,2020-11-14,Bailey Daniel Green,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cc99b24a703a9426d207d7a1bb860680421e394be42c8c7f36cee98bee98f149,match,1.0,1.0,131,2017-09-05,Morgan Nicholas Lee,F,131,2017-09-05,Morgan Nicholas Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:dac3173c5d104c2752459455c67d22b11baf197de8fd0d8ad9acbbdb98eb56f7,match,1.0,1.0,133,2020-01-07,Avery Ryan Hall,F,133,2020-01-07,Avery Ryan Hall,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:35c2fbd247bde88d535ef849652f81abb257791ad4a42d5bcbc2e45b8a590b59,match,1.0,1.0,174,2018-11-08,Casey Ethan Rivera,M,174,2018-11-08,Casey Ethan Rivera,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:5ccde020eb83552d093d2f8bfee508d2bc72b09349ed1623976d76da638b4fda,match,1.0,1.0,207,2020-06-25,Tuakana Toa Patea,M,207,2020-06-25,Tuakana Toa Patea,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
