decision_id,decision,score,distinctive_max,register_id,register_birth_date,register_family_name,register_given_name,register_name,register_sex,sample_id,sample_birth_date,sample_family_name,sample_given_name,sample_name,sample_sex,evidence,review_outcome,reviewer,reviewed_at,reason
xwd:sha256:6179d94ab7a31c00cc3c6a9f3eda4156008cfcbc86174eeb3aab41d404b70278,match,1.0,1.0,34,2020-08-23,Garciarodriguez,Amal,Amal Niamh Garciarodriguez,F,34,2020-08-23,Garciarodriguez,Amal,Amal Niamh Garciarodriguez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:2f9facd2e1cdeab9d9b27294a09a51c02cd483a0b4306bf27e58c86db6917b17,match,1.0,1.0,35,2017-04-18,Alijones,Isaac,Isaac Arseniy Alijones,M,35,2017-04-18,Alijones,Isaac,Isaac Arseniy Alijones,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cd45a493cc14d0b8e75e5fa804157afab5820acca765ec76ae5f5f1ec91d4b4d,match,1.0,1.0,37,2018-09-05,Ruiz,Jin,Jin Finn Ruiz,M,37,2018-09-05,Ruiz,Jin,Jin Finn Ruiz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:4e06047294d1a50c36f973fc8eeaddfd3973234281235f4fbfd70953719fb8cc,match,1.0,1.0,47,2019-06-25,Changliu,Jun,Jun Maritza Changliu,M,47,2019-06-25,Changliu,Jun,Jun Maritza Changliu,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:02c4b86662325f269cfc7d477d65fddb330abcc40d06f02d0873cd853df4a057,match,1.0,1.0,64,2019-05-13,Nakamurayamamoto,Omar,Omar Andrzej Nakamurayamamoto,M,64,2019-05-13,Nakamurayamamoto,Omar,Omar Andrzej Nakamurayamamoto,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:3ba3e607538fec7f0c767146c4771393fcfce8b1bdaba5d9259402c05977362c,match,1.0,1.0,68,2018-04-28,Kimchoi,Aaliyah,Aaliyah Marisol Kimchoi,F,68,2018-04-28,Kimchoi,Aaliyah,Aaliyah Marisol Kimchoi,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7b191e189b3eef70ffc110aef8c25ef2d1790b01ad695b137b4ab18cd6c5df8e,match,1.0,1.0,72,2017-10-27,Torresrodriguez,Jasmine,Jasmine Giselle Torresrodriguez,F,72,2017-10-27,Torresrodriguez,Jasmine,Jasmine Giselle Torresrodriguez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:3062e70acf153618c8497bc5dda2c9283d22c3f77c4f6f54ba40bfbc9f78f620,match,1.0,1.0,80,2020-01-19,Changchen,Selena,Selena Kiana Changchen,F,80,2020-01-19,Changchen,Selena,Selena Kiana Changchen,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:638e48869d5331c8de5c1988bd3544a6df752e0846b4df09bc96dd6ed8a80af7,match,1.0,1.0,81,2019-08-26,Leepark,Yusuf,Yusuf Rasmus Leepark,M,81,2019-08-26,Leepark,Yusuf,Yusuf Rasmus Leepark,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:82cdbcb226911409a2d736b456811e4db87c46c89a6ec379cc124038f2f7138f,match,1.0,1.0,84,2020-04-14,Ortizrodriguez,Lila,Lila Fatoumata Ortizrodriguez,F,84,2020-04-14,Ortizrodriguez,Lila,Lila Fatoumata Ortizrodriguez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:4aacff2069bf4508cebd9c12ed2bf42b7608fa3bde79450c966d710d1bda24cf,match,1.0,1.0,87,2018-01-15,Hernandezgonzalez,Lila,Lila Inessa Hernandezgonzalez,F,87,2018-01-15,Hernandezgonzalez,Lila,Lila Inessa Hernandezgonzalez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:4c287af71fc731260c4f918c02cea303202a3375969ae50a74e132668274a3c3,match,1.0,1.0,113,2020-10-05,Jenkins,Aubrey,Aubrey Sophia Jenkins,F,113,2020-10-05,Jenkins,Aubrey,Aubrey Sophia Jenkins,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
